
2025/04/21 (09:29:45) | ===> btop++ v.1.4.0
2025/04/21 (09:29:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/21 (11:52:23) | ===> btop++ v.1.4.0
2025/04/21 (11:52:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/22 (07:06:35) | ERROR: Stall in Runner thread, restarting!

2025/04/22 (11:55:15) | ===> btop++ v.1.4.0
2025/04/22 (11:55:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/22 (14:20:08) | ===> btop++ v.1.4.0
2025/04/22 (14:20:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/25 (16:02:11) | ===> btop++ v.1.4.0
2025/04/25 (16:02:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/25 (16:12:24) | ===> btop++ v.1.4.0
2025/04/25 (16:12:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/25 (16:16:07) | ===> btop++ v.1.4.0
2025/04/25 (16:16:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/27 (09:44:20) | ERROR: Stall in Runner thread, restarting!
